capture_id,subject_id,posture,calibration_id,status,c1_valid_joints,c2_valid_joints,head_visible,shoulders_visible,hips_visible,multicam_consistent,reason
CAP000001,S001,upright,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000002,S001,upright,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000003,S001,upright,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000004,S001,upright,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000005,S001,upright,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000006,S001,leaning_forward,CAL_001,PASS,14,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000007,S001,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000008,S001,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000009,S001,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000010,S001,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000011,S001,upright,CAL_001,PASS,13,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000012,S001,upright,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000013,S001,upright,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000014,S001,upright,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000015,S001,upright,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000016,S001,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000017,S001,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000018,S001,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000019,S001,leaning_forward,CAL_001,PASS,13,11,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000020,S001,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000021,S001,leaning_backward,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000022,S001,leaning_backward,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000023,S001,leaning_backward,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000024,S001,leaning_backward,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000025,S001,leaning_backward,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000026,S001,leaning_left,CAL_001,PASS,14,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000027,S001,leaning_left,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000028,S001,leaning_left,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000029,S001,leaning_left,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000030,S001,leaning_left,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000031,S001,leaning_right,CAL_001,PASS,14,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000032,S001,leaning_right,CAL_001,PASS,14,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000033,S001,leaning_right,CAL_001,PASS,14,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000034,S001,leaning_right,CAL_001,PASS,15,11,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000035,S001,leaning_right,CAL_001,PASS,15,11,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000036,S001,slouching,CAL_001,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000037,S001,slouching,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000038,S001,slouching,CAL_001,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000039,S001,slouching,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000040,S001,slouching,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000041,S001,forward_head,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000042,S001,forward_head,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000043,S001,forward_head,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000044,S001,forward_head,CAL_001,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000045,S001,forward_head,CAL_001,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000046,S001,reject,CAL_001,FAIL,8,6,False,False,True,True,Incomplete torso keypoints or severe multicam mismatch
CAP000047,S001,reject,CAL_001,PASS,0,0,False,False,False,True,Correctly rejected negative sample (empty chair / out of frame)
CAP000048,S002,upright,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000049,S002,upright,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000050,S002,upright,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000051,S002,upright,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000052,S002,upright,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000053,S002,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000054,S002,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000055,S002,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000056,S002,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000057,S002,leaning_forward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000058,S002,leaning_backward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000059,S002,leaning_backward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000060,S002,leaning_backward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000061,S002,leaning_backward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000062,S002,leaning_backward,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000063,S002,leaning_left,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000064,S002,leaning_left,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000065,S002,leaning_left,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000066,S002,leaning_left,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000067,S002,leaning_left,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000068,S002,leaning_right,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000069,S002,leaning_right,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000070,S002,leaning_right,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000071,S002,leaning_right,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000072,S002,leaning_right,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000073,S002,slouching,CAL_001,PASS,13,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000074,S002,slouching,CAL_001,PASS,13,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000075,S002,slouching,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000076,S002,slouching,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000077,S002,slouching,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000078,S002,forward_head,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000079,S002,forward_head,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000080,S002,forward_head,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000081,S002,forward_head,CAL_001,PASS,13,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000082,S002,forward_head,CAL_001,PASS,13,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000083,S003,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000084,S003,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000085,S003,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000086,S003,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000087,S003,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000088,S003,leaning_forward,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000089,S003,leaning_forward,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000090,S003,leaning_forward,CAL_004,PASS,17,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000091,S003,leaning_forward,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000092,S003,leaning_forward,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000093,S003,leaning_backward,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000094,S003,leaning_backward,CAL_004,PASS,17,15,True,True,True,True,Full anatomical keypoints valid and multicam consistent
