cluster_id,cluster_size,labels,splits,mixed_label,cross_split,edge_count,min_edge_distance,max_edge_distance,mean_edge_distance,suggested_representative,review_priority
CL00001,431,leaning_forward | leaning_left | leaning_right | upright,test | train | valid,True,True,5396,0,2,1.277,train/upright/extract2080_jpg.rf.247fa46673a00f3b8c8d47d74a06ddb2.jpg,P1_mixed_label_cross_split
CL00002,426,leaning_backward | leaning_forward | leaning_left | leaning_right | upright,test | train | valid,True,True,3404,0,2,1.316,train/upright/extract3320_jpg.rf.fc565dd8c49cf7d596cb2ba735d03ee1.jpg,P1_mixed_label_cross_split
CL00003,249,leaning_backward | leaning_forward | leaning_left | upright,test | train | valid,True,True,1731,0,2,1.175,train/upright/extract0990_jpg.rf.def23fd87d8bb2658a1c78d1c963fc8f.jpg,P1_mixed_label_cross_split
CL00004,154,leaning_backward | upright,test | train | valid,True,True,2239,0,2,0.938,test/leaning_backward/extract2360_jpg.rf.717ae1cb99bcecfef2591d2aa86b28cc.jpg,P1_mixed_label_cross_split
CL00005,123,leaning_forward | upright,test | train,True,True,811,0,2,1.249,train/upright/extract0196_jpg.rf.9aadb3eed43d3ebdd905b50a1716b26d.jpg,P1_mixed_label_cross_split
CL00006,87,leaning_backward | leaning_left | leaning_right | upright,test | train | valid,True,True,524,0,2,1.206,train/leaning_left/extract0558_jpg.rf.0bd3e96d3d05c2707d05234542924ca5.jpg,P1_mixed_label_cross_split
CL00007,72,leaning_forward | upright,test | train | valid,True,True,700,0,2,1.193,valid/leaning_forward/extract0937_jpg.rf.4148d362841ede15c66557e2bc3b4478.jpg,P1_mixed_label_cross_split
CL00011,57,leaning_forward | leaning_left | leaning_right | upright,test | train | valid,True,True,648,0,2,1.165,valid/leaning_forward/mb20077_jpg.rf.ef01fadcaa277a3f5c6d13c86756b419.jpg,P1_mixed_label_cross_split
CL00012,50,leaning_backward,test | train | valid,False,True,451,0,2,1.2,train/leaning_backward/extract3250_jpg.rf.1bd9e8a603d6c33902fc5d8b0bff385d.jpg,P2_cross_split
CL00016,45,leaning_forward | leaning_left | leaning_right | upright,train | valid,True,True,218,0,2,1.431,valid/leaning_forward/mb20196_jpg.rf.b01bcd70521012dcfd174424f3adf398.jpg,P1_mixed_label_cross_split
CL00017,43,leaning_forward | leaning_left,train | valid,True,True,124,0,2,1.379,train/leaning_left/extract1304_jpg.rf.8d5cc7a6c4b1b0b94d185f193a411a4d.jpg,P1_mixed_label_cross_split
CL00019,42,leaning_forward | upright,train | valid,True,True,148,0,2,1.257,valid/leaning_forward/extract1576_jpg.rf.6ac8d40ecd55a6702337a7b7f1f0aafa.jpg,P1_mixed_label_cross_split
CL00020,35,leaning_backward | leaning_forward | leaning_right,test | train | valid,True,True,99,0,2,1.293,train/leaning_backward/mb20250_jpg.rf.03c411e6194f88538c9e21674706c62b.jpg,P1_mixed_label_cross_split
CL00021,32,leaning_forward | leaning_right | upright,train | valid,True,True,128,0,2,1.227,train/leaning_right/extract0462_jpg.rf.389634219f7b82f0a25325c5ea05dcbb.jpg,P1_mixed_label_cross_split
