image_id,capture_id,subject_id,camera_id,view_role,posture,candidates_count,status,target_area_ratio,target_conf,mean_kpt_conf,torso_kpts_valid,notes
S001_SE01_CAP000001_CAM01,CAP000001,S001,CAM01,frontal,upright,1,correct_target,0.2680000066757202,0.9273,0.7543,4,Single clean target in frame
S001_SE01_CAP000001_CAM02,CAP000001,S001,CAM02,lateral,upright,3,multiple_candidates,0.41999998688697815,0.9256,0.7162,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000002_CAM01,CAP000002,S001,CAM01,frontal,upright,1,correct_target,0.27390000224113464,0.926,0.7592,4,Single clean target in frame
S001_SE01_CAP000002_CAM02,CAP000002,S001,CAM02,lateral,upright,3,multiple_candidates,0.4198000133037567,0.9275,0.7235,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000003_CAM01,CAP000003,S001,CAM01,frontal,upright,1,correct_target,0.27300000190734863,0.9271,0.7729,4,Single clean target in frame
S001_SE01_CAP000003_CAM02,CAP000003,S001,CAM02,lateral,upright,3,multiple_candidates,0.4196000099182129,0.9263,0.7219,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000004_CAM01,CAP000004,S001,CAM01,frontal,upright,1,correct_target,0.2720000147819519,0.9254,0.7719,4,Single clean target in frame
S001_SE01_CAP000004_CAM02,CAP000004,S001,CAM02,lateral,upright,3,multiple_candidates,0.4205000102519989,0.9272,0.7171,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000005_CAM01,CAP000005,S001,CAM01,frontal,upright,1,correct_target,0.2745000123977661,0.9259,0.7665,4,Single clean target in frame
S001_SE01_CAP000005_CAM02,CAP000005,S001,CAM02,lateral,upright,2,multiple_candidates,0.41999998688697815,0.9298,0.7198,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000006_CAM01,CAP000006,S001,CAM01,frontal,leaning_forward,1,correct_target,0.3118000030517578,0.9186,0.7514,4,Single clean target in frame
S001_SE01_CAP000006_CAM02,CAP000006,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.3208000063896179,0.942,0.5953,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000007_CAM01,CAP000007,S001,CAM01,frontal,leaning_forward,1,correct_target,0.31130000948905945,0.9233,0.7449,4,Single clean target in frame
S001_SE01_CAP000007_CAM02,CAP000007,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.3190000057220459,0.9387,0.5931,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000008_CAM01,CAP000008,S001,CAM01,frontal,leaning_forward,1,correct_target,0.3100000023841858,0.9291,0.7339,4,Single clean target in frame
S001_SE01_CAP000008_CAM02,CAP000008,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.3181000053882599,0.9383,0.5827,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000009_CAM01,CAP000009,S001,CAM01,frontal,leaning_forward,1,correct_target,0.3127000033855438,0.9249,0.7438,4,Single clean target in frame
S001_SE01_CAP000009_CAM02,CAP000009,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.31839999556541443,0.9367,0.571,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000010_CAM01,CAP000010,S001,CAM01,frontal,leaning_forward,1,correct_target,0.3124000132083893,0.9226,0.7414,4,Single clean target in frame
S001_SE01_CAP000010_CAM02,CAP000010,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.3181999921798706,0.9348,0.5664,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000011_CAM01,CAP000011,S001,CAM01,frontal,upright,2,multiple_candidates,0.2612999975681305,0.9319,0.7119,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000011_CAM02,CAP000011,S001,CAM02,lateral,upright,3,multiple_candidates,0.42719998955726624,0.9064,0.692,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000012_CAM01,CAP000012,S001,CAM01,frontal,upright,2,multiple_candidates,0.27090001106262207,0.9351,0.7171,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000012_CAM02,CAP000012,S001,CAM02,lateral,upright,2,multiple_candidates,0.41690000891685486,0.9298,0.7069,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000013_CAM01,CAP000013,S001,CAM01,frontal,upright,2,multiple_candidates,0.2770000100135803,0.9257,0.7265,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000013_CAM02,CAP000013,S001,CAM02,lateral,upright,2,multiple_candidates,0.4138999879360199,0.9322,0.7298,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000014_CAM01,CAP000014,S001,CAM01,frontal,upright,2,multiple_candidates,0.2752000093460083,0.9286,0.7201,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000014_CAM02,CAP000014,S001,CAM02,lateral,upright,2,multiple_candidates,0.4154999852180481,0.9363,0.726,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000015_CAM01,CAP000015,S001,CAM01,frontal,upright,2,multiple_candidates,0.2777000069618225,0.929,0.7355,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000015_CAM02,CAP000015,S001,CAM02,lateral,upright,2,multiple_candidates,0.42089998722076416,0.9364,0.7301,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000016_CAM01,CAP000016,S001,CAM01,frontal,leaning_forward,2,multiple_candidates,0.32199999690055847,0.9181,0.6762,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000016_CAM02,CAP000016,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.362199991941452,0.8952,0.5861,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000017_CAM01,CAP000017,S001,CAM01,frontal,leaning_forward,2,multiple_candidates,0.29269999265670776,0.9422,0.6182,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000017_CAM02,CAP000017,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.3301999866962433,0.911,0.4962,3,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000018_CAM01,CAP000018,S001,CAM01,frontal,leaning_forward,2,multiple_candidates,0.3059999942779541,0.9473,0.6545,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000018_CAM02,CAP000018,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.3424000144004822,0.9086,0.5532,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000019_CAM01,CAP000019,S001,CAM01,frontal,leaning_forward,2,multiple_candidates,0.31299999356269836,0.9464,0.6565,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000019_CAM02,CAP000019,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.33489999175071716,0.8967,0.5132,4,Multiple candidates (2); Default YOLO correctly aligns with target
